,Number,Age,Weight,Salary
158,3.0,20.0,245.0,2841960.0
159,20.0,28.0,210.0,6270000.0
160,13.0,26.0,235.0,5000000.0
161,43.0,31.0,240.0,3000000.0
162,5.0,27.0,255.0,4050000.0
163,25.0,24.0,250.0,1007026.0
164,13.0,26.0,220.0,17120106.0
165,3.0,30.0,188.0,8000000.0
166,27.0,28.0,235.0,4000000.0
167,44.0,25.0,225.0,1358880.0
168,10.0,28.0,195.0,211744.0
169,40.0,22.0,222.0,1100000.0
170,2.0,30.0,205.0,7000000.0
171,33.0,20.0,243.0,2357760.0
172,42.0,25.0,250.0,845059.0
173,1.0,23.0,180.0,1007026.0
174,19.0,27.0,200.0,3000000.0
175,5.0,24.0,190.0,2399040.0
176,9.0,25.0,195.0,947276.0
177,11.0,21.0,194.0,1662360.0
178,31.0,25.0,229.0,2943221.0
179,3.0,28.0,210.0,8000000.0
180,22.0,24.0,234.0,14700000.0
181,15.0,26.0,265.0,16407500.0
182,6.0,32.0,225.0,295327.0
183,77.0,23.0,257.0,845059.0
184,12.0,21.0,250.0,5152440.0
185,18.0,27.0,249.0,2109294.0
186,21.0,29.0,217.0,6600000.0
187,20.0,19.0,202.0,1733040.0
188,1.0,22.0,228.0,1449000.0
189,5.0,31.0,185.0,4290000.0
190,21.0,28.0,200.0,1100602.0
191,2.0,31.0,205.0,3950313.0
192,34.0,33.0,185.0,4053446.0
193,42.0,33.0,245.0,2085671.0
194,23.0,29.0,220.0,16407500.0
195,11.0,28.0,270.0,1270964.0
196,25.0,27.0,230.0,15361500.0
197,7.0,24.0,240.0,845059.0
198,3.0,31.0,232.0,947276.0
199,8.0,31.0,200.0,5378974.0
200,1.0,30.0,215.0,8193030.0
201,8.0,27.0,235.0,306527.0
202,2.0,27.0,185.0,6486486.0
203,33.0,30.0,186.0,8229375.0
204,7.0,22.0,230.0,1646400.0
205,0.0,27.0,200.0,200600.0
206,13.0,26.0,220.0,15756438.0
207,35.0,22.0,240.0,1000000.0
208,6.0,24.0,252.0,2489530.0
209,32.0,23.0,205.0,3189794.0
210,31.0,38.0,185.0,947276.0
211,3.0,21.0,209.0,1404600.0
212,9.0,34.0,213.0,5158539.0
213,7.0,37.0,245.0,5000000.0
214,22.0,36.0,226.0,3542500.0
215,15.0,39.0,220.0,4088019.0
216,11.0,28.0,175.0,9588426.0
217,8.0,23.0,165.0,700902.0
218,0.0,25.0,227.0,845059.0
219,19.0,23.0,230.0,1201440.0
220,10.0,22.0,239.0,1230840.0
221,50.0,34.0,260.0,9638555.0
222,1.0,25.0,230.0,9000000.0
223,34.0,28.0,210.0,5464000.0
224,33.0,28.0,240.0,8500000.0
225,8.0,26.0,225.0,1100602.0
226,30.0,27.0,175.0,3036927.0
227,44.0,29.0,230.0,2850000.0
228,23.0,23.0,253.0,7070730.0
229,31.0,23.0,203.0,169883.0
230,16.0,30.0,195.0,1164858.0
231,4.0,25.0,210.0,845059.0
232,1.0,26.0,220.0,10734586.0
233,2.0,25.0,170.0,845059.0
234,15.0,29.0,225.0,1320000.0
235,10.0,27.0,215.0,15514031.0
236,25.0,25.0,220.0,1015421.0
237,11.0,25.0,205.0,10595507.0
238,0.0,27.0,220.0,55722.0
239,20.0,28.0,220.0,3382023.0
240,12.0,30.0,240.0,19689000.0
241,1.0,22.0,230.0,1142880.0
242,15.0,36.0,235.0,947276.0
243,21.0,40.0,250.0,5250000.0
244,14.0,28.0,215.0,10000000.0
245,2.0,24.0,230.0,16407500.0
246,23.0,33.0,199.0,200600.0
247,24.0,40.0,200.0,250750.0
248,8.0,27.0,185.0,3578947.0
249,17.0,26.0,195.0,525093.0
250,30.0,35.0,250.0,1499187.0
251,24.0,26.0,201.0,2000000.0
252,10.0,24.0,205.0,1304520.0
253,12.0,35.0,190.0,2854940.0
254,15.0,30.0,245.0,12000000.0
255,43.0,31.0,235.0,1000000.0
256,26.0,35.0,212.0,5746479.0
257,4.0,31.0,246.0,18671659.0
258,31.0,24.0,240.0,947276.0
259,13.0,24.0,225.0,525093.0
260,32.0,27.0,237.0,3333333.0
261,0.0,27.0,186.0,8000000.0
262,30.0,24.0,205.0,947276.0
263,12.0,27.0,189.0,189455.0
264,50.0,30.0,250.0,947276.0
265,9.0,21.0,210.0,525093.0
266,0.0,28.0,245.0,6110034.0
267,44.0,23.0,240.0,2612520.0
268,14.0,22.0,232.0,6331404.0
269,3.0,24.0,185.0,3034356.0
270,1.0,30.0,200.0,5675000.0
271,7.0,27.0,200.0,2139000.0
272,15.0,26.0,184.0,12000000.0
273,2.0,29.0,237.0,7000000.0
274,40.0,23.0,240.0,4204200.0
275,1.0,32.0,235.0,22192730.0
276,9.0,31.0,220.0,10151612.0
277,40.0,36.0,235.0,2854940.0
278,2.0,34.0,240.0,261894.0
279,8.0,24.0,186.0,845059.0
280,4.0,29.0,240.0,5543725.0
281,0.0,22.0,200.0,525093.0
282,3.0,34.0,220.0,20000000.0
283,21.0,26.0,265.0,981348.0
284,20.0,20.0,225.0,2481720.0
285,3.0,26.0,245.0,947276.0
286,0.0,20.0,220.0,4171680.0
287,11.0,23.0,200.0,845059.0
288,13.0,24.0,175.0,1294440.0
289,44.0,26.0,250.0,2380593.0
290,5.0,24.0,210.0,5192520.0
291,4.0,22.0,185.0,2505720.0
292,14.0,30.0,240.0,4300000.0
293,9.0,25.0,260.0,11250000.0
294,32.0,32.0,175.0,5000000.0
295,6.0,33.0,220.0,4000000.0
296,3.0,22.0,207.0,5694674.0
297,1.0,30.0,225.0,4375000.0
298,8.0,24.0,218.0,561716.0
299,90.0,34.0,250.0,3300000.0
300,21.0,27.0,242.0,273038.0
301,5.0,26.0,245.0,8000000.0
302,12.0,20.0,205.0,1920240.0
303,22.0,23.0,198.0,4662960.0
304,7.0,30.0,190.0,2170465.0
305,17.0,30.0,195.0,1100602.0
306,15.0,29.0,205.0,200600.0
307,2.0,25.0,195.0,15851950.0
308,0.0,28.0,235.0,2814000.0
309,12.0,28.0,183.0,3000000.0
310,5.0,25.0,175.0,3533333.0
311,21.0,29.0,225.0,10449438.0
312,35.0,26.0,228.0,11235955.0
313,14.0,21.0,210.0,1584480.0
314,3.0,36.0,218.0,947276.0
315,1.0,34.0,190.0,4345000.0
316,9.0,23.0,214.0,258489.0
317,5.0,26.0,241.0,1474440.0
318,1.0,20.0,195.0,1282080.0
319,8.0,21.0,189.0,2148360.0
320,15.0,23.0,223.0,2056920.0
321,33.0,25.0,237.0,1938840.0
322,12.0,36.0,212.0,947276.0
323,32.0,20.0,244.0,5703600.0
324,22.0,21.0,199.0,5758680.0
325,12.0,22.0,255.0,2279040.0
326,4.0,35.0,255.0,3750000.0
327,35.0,27.0,240.0,20158622.0
328,6.0,32.0,213.0,3135000.0
329,34.0,24.0,230.0,1140240.0
330,11.0,24.0,245.0,16407500.0
331,33.0,24.0,255.0,1463040.0
332,13.0,38.0,250.0,222888.0
333,2.0,30.0,210.0,3344000.0
334,22.0,21.0,185.0,2021520.0
335,21.0,24.0,210.0,1210800.0
336,5.0,28.0,228.0,4500000.0
337,3.0,24.0,220.0,5138430.0
338,0.0,27.0,200.0,16744218.0
339,34.0,20.0,240.0,525093.0
340,8.0,25.0,215.0,8042895.0
341,5.0,23.0,206.0,625093.0
342,23.0,24.0,210.0,947276.0
343,17.0,27.0,240.0,6980802.0
344,4.0,23.0,215.0,2894059.0
345,9.0,28.0,215.0,6000000.0
346,35.0,34.0,265.0,5016000.0
347,11.0,24.0,245.0,3075880.0
348,0.0,25.0,195.0,4236287.0
349,3.0,24.0,200.0,2525160.0
350,44.0,23.0,185.0,525093.0
351,24.0,26.0,235.0,1415520.0
352,2.0,30.0,173.0,2854940.0
353,21.0,20.0,240.0,2637720.0
354,33.0,28.0,228.0,4775000.0
355,3.0,23.0,191.0,2658240.0
356,10.0,24.0,214.0,9463484.0
357,15.0,24.0,265.0,12000000.0
358,20.0,26.0,226.0,15409570.0
359,5.0,23.0,206.0,1348440.0
360,23.0,26.0,206.0,981348.0
361,41.0,20.0,234.0,2239800.0
362,8.0,26.0,203.0,2433333.0
363,24.0,26.0,231.0,947276.0
